,immfrac,avgi
0,0.0,0.2554494
1,0.05,0.22371044
2,0.1,0.18997392
3,0.15000000000000002,0.15096115999999998
4,0.2,0.10167568
5,0.25,0.0086996299629963
6,0.30000000000000004,0.0015442744274427442
7,0.35000000000000003,0.00046744674467446743
8,0.4,0.0002867086708670867
9,0.45,0.00024266426642664265
10,0.5,0.0001800980098009801
11,0.55,0.0001610961096109611
12,0.6000000000000001,0.00015485548554855486
13,0.65,0.00012049204920492049
14,0.7000000000000001,0.00011817181718171816
15,0.75,0.00011109110911091109
16,0.8,0.00010957095709570957
17,0.8500000000000001,0.00010625062506250624
18,0.9,9.816981698169817e-05
19,0.9500000000000001,8.944894489448945e-05
20,1.0,8.576857685768576e-05
