,temp,mag,energy,avgHC,avgSUP,energyerr,magerr,superr,hcerr
0,1.0,348.0,-4740.0,0.06600081265866757,10.364077663952065,12.845311660114,12.845311660114,0.0,0.0
1,1.1,400.0,-4724.0,0.08344761171001047,25.560875342769844,15.888015150538118,15.888015150538118,0.0,0.0
2,1.2000000000000002,88.0,-4696.0,0.11192287520505485,8.042947656218436,20.072925814062515,20.072925814062515,0.0,0.0
3,1.3000000000000003,-56.0,-4664.0,0.15289468159248837,11.798996552490616,25.416137191249526,25.416137191249526,0.0,0.0
4,1.4000000000000004,512.0,-4628.0,1.081855999303563,121.81091952243082,72.80861485141826,72.80861485141826,0.0,0.0
5,1.5000000000000004,2468.0,-4880.0,0.17124452870686838,0.02341807087635,31.036276741549717,31.036276741549717,0.0,0.0
6,1.6000000000000005,2452.0,-4824.0,0.250120240903925,0.04006777539406902,40.009618115976465,40.009618115976465,0.0,0.0
7,1.7000000000000006,2428.0,-4752.0,0.3434141269919161,0.06894884481872703,49.81131465359829,49.81131465359829,0.0,0.0
8,1.8000000000000007,2392.0,-4652.0,0.42148300109546094,0.12494466075197685,58.429549962952066,58.429549962952066,0.0,0.0
9,1.9000000000000008,2348.0,-4528.0,0.6226710938069954,0.23847170351386845,74.96403552108603,74.96403552108603,0.0,0.0
10,2.000000000000001,2284.0,-4372.0,0.7638920151635997,0.5779578859049824,87.40091619450625,87.40091619450625,0.0,0.0
11,2.100000000000001,2180.0,-4152.0,0.8806829134981371,0.9054090551998284,98.53694292659324,98.53694292659324,0.0,0.0
12,2.200000000000001,-384.0,-3844.0,2.611088605814819,590.7555741692537,177.74749542639867,177.74749542639867,0.0,0.0
13,2.300000000000001,1184.0,-3420.0,1.784745223893446,261.74952568050804,153.63351062184324,153.63351062184324,0.0,0.0
14,2.4000000000000012,168.0,-3012.0,1.0839834108889195,65.46537149564955,124.93742880658809,124.93742880658809,0.0,0.0
15,2.5000000000000013,-24.0,-2768.0,0.8895521254148474,27.139906207188744,117.89508878493358,117.89508878493358,0.0,0.0
16,2.6000000000000014,-12.0,-2564.0,0.7329547437180113,13.168966804343212,111.29660897275615,111.29660897275615,0.0,0.0
17,2.7000000000000015,4.0,-2400.0,0.5984709070871778,9.178432987650588,104.4372169375709,104.4372169375709,0.0,0.0
18,2.8000000000000016,-20.0,-2272.0,0.574393351885575,6.292030101513825,106.10423976900776,106.10423976900776,0.0,0.0
19,2.9000000000000017,4.0,-2150.0,0.4505157111338407,4.745814790399897,97.32467737726806,97.32467737726806,0.0,0.0
20,3.0000000000000018,-16.0,-2040.0,0.39863825839919304,3.899943508675846,94.70670944543255,94.70670944543255,0.0,0.0
